r,m,c,b,f,dm,dc,db,df
1.691551351125189626e+02,2.923812378499107888e-06,3.030506973473539589e-01,6.592891131713038977e-01,8.154650379312092801e-01,7.393316880855040204e-06,-5.785621220872907508e-07,-5.407275461397291396e-07,-4.372744587341096603e-07
1.691612612769873749e+02,2.969457683277426612e-06,3.030506937715579108e-01,6.592891098289226370e-01,8.154650352282845072e-01,7.508738386056433475e-06,-5.888531260444464584e-07,-5.504840098210110106e-07,-4.451690755020516098e-07
1.691673874414557588e+02,3.015815589311339350e-06,3.030506901321585178e-01,6.592891064262331735e-01,8.154650324765601033e-01,7.625961827762748126e-06,-5.993269690727352723e-07,-5.604166502168545255e-07,-4.532063382626778578e-07
1.691735136059241711e+02,3.062897214795525498e-06,3.030506864280266277e-01,6.592891029621470445e-01,8.154650296751547733e-01,7.745015320204301013e-06,-6.099868930173371534e-07,-5.705286488696736416e-07,-4.613888250330501174e-07
1.691796397703925550e+02,3.110713858117499357e-06,3.030506826580119939e-01,6.592890994355558032e-01,8.154650268231707910e-01,7.865927433257893824e-06,-6.208361993471072944e-07,-5.808232470688984623e-07,-4.697191622711939871e-07
1.691857659348609673e+02,3.159277001228353178e-06,3.030506788209434976e-01,6.592890958453297978e-01,8.154650239196935546e-01,7.988727200970099048e-06,-6.318782503995117937e-07,-5.913037471305078661e-07,-4.782000259190314015e-07
1.691918920993293511e+02,3.208598286228269028e-06,3.030506749156312574e-01,6.592890921903213908e-01,8.154650209637938074e-01,8.113444062349898367e-06,-6.431164617055587824e-07,-6.019735047152667434e-07,-4.868341351916277481e-07
1.691980182637977634e+02,3.258689561116433110e-06,3.030506709408615218e-01,6.592890884693591858e-01,8.154650179545229749e-01,8.240107977054422422e-06,-6.545543173567735971e-07,-6.128359442934100205e-07,-4.956242650828882090e-07
1.692041444282661757e+02,3.309562839478124290e-06,3.030506668954013882e-01,6.592890846812530237e-01,8.154650148909177165e-01,8.368749323451256278e-06,-6.661953566886108516e-07,-6.238945458057508706e-07,-5.045732355005742438e-07
1.692102705927345596e+02,3.361230329603015790e-06,3.030506627779949169e-01,6.592890808247903189e-01,8.154650117719958180e-01,8.499398972248492756e-06,-6.780431841102469078e-07,-6.351528544955581573e-07,-5.136839194410163396e-07
1.692163967572029719e+02,3.413704438127365201e-06,3.030506585873632419e-01,6.592890768987359484e-01,8.154650085967570794e-01,8.632088295704398007e-06,-6.901014704795990586e-07,-6.466144824059563131e-07,-5.229592439552852130e-07
1.692225229216713558e+02,3.466997744733875994e-06,3.030506543222072913e-01,6.592890729018344720e-01,8.154650053641847585e-01,8.766849103651953211e-06,-7.023739447270011478e-07,-6.582830999407961139e-07,-5.324021835001669803e-07
