r,m,c,b,f,dm,dc,db,df
1.213765850676026275e+03,2.844694941359773665e-06,3.028423241581971737e-01,6.579566590819597716e-01,8.145193375382042689e-01,7.190816485694106462e-06,-5.616479319814378744e-07,-5.272565311167560674e-07,-4.266302137786693228e-07
1.213771981005173984e+03,2.889120333229049954e-06,3.028423206845770044e-01,6.579566558206366711e-01,8.145193348992871840e-01,7.303114550110240552e-06,-5.716388063127923387e-07,-5.367679796412291230e-07,-4.343309759224162212e-07
1.213778111334321466e+03,2.934239515641088410e-06,3.028423171491664845e-01,6.579566525004802990e-01,8.145193322127364244e-01,7.417166371130495578e-06,-5.818072019020050193e-07,-5.464511417381232336e-07,-4.421708482136246215e-07
1.213784241663469174e+03,2.980063316895440433e-06,3.028423135508683806e-01,6.579566491204286161e-01,8.145193294776920112e-01,7.532999320217272200e-06,-5.921562666012545693e-07,-5.563091176028450048e-07,-4.501523441174465414e-07
1.213790371992616656e+03,3.026602740843508175e-06,3.028423098885653086e-01,6.579566456794007090e-01,8.145193266932780896e-01,7.650641212584147866e-06,-6.026892061610013597e-07,-5.663450656348546657e-07,-4.582780242917466586e-07
1.213796502321764365e+03,3.073868970173516186e-06,3.028423061611194012e-01,6.579566421762949036e-01,8.145193238586017070e-01,7.770120315499225597e-06,-6.134092854411945131e-07,-5.765622036586371695e-07,-4.665504976590841267e-07
1.213802632650911846e+03,3.121873343599592699e-06,3.028423023673745273e-01,6.579566386099916508e-01,8.145193209727563666e-01,7.891465290624773027e-06,-6.243198209684995930e-07,-5.869638015005940700e-07,-4.749724152947128283e-07
1.213808762980059555e+03,3.170627400434901921e-06,3.028422985061514638e-01,6.579566349793487534e-01,8.145193180348164752e-01,8.014705306686638873e-06,-6.354241958417618401e-07,-5.975531959797878354e-07,-4.835464826336012470e-07
1.213814893309207037e+03,3.220142841317225873e-06,3.028422945762522245e-01,6.579566312832052510e-01,8.145193150438415630e-01,8.139869940198290834e-06,-6.467258468073406004e-07,-6.083337779594488155e-07,-4.922754489486635764e-07
1.213821023638354745e+03,3.270431556578711726e-06,3.028422905764568407e-01,6.579566275203786452e-01,8.145193119988732855e-01,8.266989247172193606e-06,-6.582282738089391962e-07,-6.193090019503741240e-07,-5.011621151650822396e-07
1.213827153967502227e+03,3.321505629795468832e-06,3.028422865055225843e-01,6.579566236896641218e-01,8.145193088989358676e-01,8.396093772092022323e-06,-6.699350413225348862e-07,-6.304823875002221840e-07,-5.102093349607623473e-07
1.213833284296649936e+03,3.373377313138966279e-06,3.028422823621872984e-01,6.579566197898373270e-01,8.145193057430369921e-01,8.527214485607183915e-06,-6.818497702120365869e-07,-6.418575109956948250e-07,-5.194200081949346844e-07
1.213839414625797417e+03,3.426059075539972487e-06,3.028422781451632906e-01,6.579566158196489267e-01,8.145193025301646905e-01,8.660382906278641391e-06,-6.939761540179854172e-07,-6.534380221607519557e-07,-5.287970941222856871e-07
1.213845544954945126e+03,3.479563560250211899e-06,3.028422738531423852e-01,6.579566117778296030e-01,8.145192992592901193e-01,8.795630993305519909e-06,-7.063179448428070941e-07,-6.652276297953456836e-07,-5.383435999634537820e-07
1.213851675284092607e+03,3.533903615497583407e-06,3.028422694847925922e-01,6.579566076630855020e-01,8.145192959293654500e-01,8.932991224013408737e-06,-7.188789637669920786e-07,-6.772301123314927158e-07,-5.480625894861383806e-07
1.213857805613240316e+03,3.589092298321635653e-06,3.028422650387569415e-01,6.579566034740994551e-01,8.145192925393229810e-01,9.072496603549131059e-06,-7.316631023217984091e-07,-6.894493193356322402e-07,-5.579571841482600980e-07
1.213863935942387798e+03,3.645142847939345714e-06,3.028422605136572576e-01,6.579565992095322002e-01,8.145192890880779135e-01,9.214180597556261400e-06,-7.446743135890488788e-07,-7.018891625520950937e-07,-5.680305558831461835e-07
1.213870066271535507e+03,3.702068737789090474e-06,3.028422559080876098e-01,6.579565948680174969e-01,8.145192855745226890e-01,9.358077263728346295e-06,-7.579166299742665610e-07,-7.145536339543662618e-07,-5.782859416526067700e-07
1.213876196600682988e+03,3.759883629673511899e-06,3.028422512206195849e-01,6.579565904481667893e-01,8.145192819975325405e-01,9.504221135893919294e-06,-7.713941478116576577e-07,-7.274467901230169456e-07,-5.887266309135796766e-07
1.213882326929830697e+03,3.818601406884231643e-06,3.028422464497986799e-01,6.579565859485655421e-01,8.145192783559613847e-01,9.652647307746824184e-06,-7.851110387370469107e-07,-7.405727637707719611e-07,-5.993559749070806964e-07
1.213888457258978178e+03,3.878236178346377326e-06,3.028422415941433576e-01,6.579565813677725750e-01,8.145192746486411561e-01,9.803391443322120283e-06,-7.990715512725877318e-07,-7.539357655089488817e-07,-6.101773880159583419e-07
1.213894587588125887e+03,3.938802249838693370e-06,3.028422366521488218e-01,6.579565767043236146e-01,8.145192708743853593e-01,9.956489704248073304e-06,-8.132800011391075767e-07,-7.675400739174996856e-07,-6.211943399004036289e-07
1.213900717917273369e+03,4.000314180230126815e-06,3.028422316222798005e-01,6.579565719567241899e-01,8.145192670319829631e-01,1.011197889189681530e-05,-8.277407906454135686e-07,-7.813900552934183261e-07,-6.324103712757860980e-07
1.213906848246421077e+03,4.062786731928442686e-06,3.028422265029767635e-01,6.579565671234557378e-01,8.145192631202035072e-01,1.026989632213152275e-05,-8.424583918813209745e-07,-7.954901466610487435e-07,-6.438290802868074867e-07
1.213912978575568559e+03,4.126234906673486669e-06,3.028422212926515922e-01,6.579565622029713845e-01,8.145192591377932168e-01,1.043027991578187832e-05,-8.574373591111509809e-07,-8.098448683461731352e-07,-6.554541327199561575e-07
1.213919108904716268e+03,4.190673950015583830e-06,3.028422159896865251e-01,6.579565571936946133e-01,8.145192550834748912e-01,1.059316820996386658e-05,-8.726823305480408897e-07,-8.244588258178627586e-07,-6.672892634204259300e-07
1.213925239233863749e+03,4.256119320217074632e-06,3.028422105924385432e-01,6.579565520940241496e-01,8.145192509559506799e-01,1.075860027947114223e-05,-8.881980177470984441e-07,-8.393366989372453277e-07,-6.793382676398679655e-07
1.213931369563011458e+03,4.322586749019359807e-06,3.028422050992313763e-01,6.579565469023253010e-01,8.145192467538958647e-01,1.092661589037708590e-05,-9.039892267704963555e-07,-8.544832635035132201e-07,-6.916050184819613934e-07
1.213937499892158939e+03,4.390092188099668403e-06,3.028421995083622753e-01,6.579565416169376180e-01,8.145192424759645222e-01,1.109725536469193434e-05,-9.200608398513032844e-07,-8.699033726712647999e-07,-7.040934518644193823e-07
1.213943630221306648e+03,4.458651847747752747e-06,3.028421938180969053e-01,6.579565362361686764e-01,8.145192381207857490e-01,1.127055967812652362e-05,-9.364178289352988884e-07,-8.856019707707638657e-07,-7.168075775484339508e-07
1.213949760550454130e+03,4.528282201705059675e-06,3.028421880266694566e-01,6.579565307582947442e-01,8.145192336869621075e-01,1.144657047232389381e-05,-9.530652575824846498e-07,-9.015840951959705839e-07,-7.297514809866247728e-07
1.213955890879601839e+03,4.598999953561019219e-06,3.028421821322855312e-01,6.579565251815642224e-01,8.145192291730740664e-01,1.162532996991828967e-05,-9.700082694108946861e-07,-9.178548647603475875e-07,-7.429293137029607348e-07
1.213962021208749320e+03,4.670822102415447797e-06,3.028421761331150375e-01,6.579565195041897629e-01,8.145192245776732287e-01,1.180688114051082627e-05,-9.872521111976592516e-07,-9.344195032113527422e-07,-7.563453123357352805e-07
1.213968151537897029e+03,4.743765885021799268e-06,3.028421700272987960e-01,6.579565137243543749e-01,8.145192198992871058e-01,1.199126755442358731e-05,-1.004802112853897232e-06,-9.512833189513512464e-07,-7.700037822203352866e-07
1.213974281867044510e+03,4.817848817579715499e-06,3.028421638129433768e-01,6.579565078402079825e-01,8.145192151364158972e-01,1.217853348833905361e-05,-1.022663702229609253e-06,-9.684517200296263658e-07,-7.839091096111095291e-07
1.213980412196192219e+03,4.893088700964015700e-06,3.028421574881203227e-01,6.579565018498648721e-01,8.145192102875314921e-01,1.236872393851693750e-05,-1.040842407155814931e-06,-9.859302163817616445e-07,-7.980657634576778763e-07
1.213986542525339701e+03,4.969503584413838171e-06,3.028421510508707559e-01,6.579564957514093537e-01,8.145192053510812435e-01,1.256188452901051597e-05,-1.059343842852909843e-06,-1.003724406979963584e-06,-8.124782849821381458e-07
1.213992672854487409e+03,5.047111836484738829e-06,3.028421444991965528e-01,6.579564895428863247e-01,8.145192003254807522e-01,1.275806169101257074e-05,-1.078173737137767185e-06,-1.021840005597214835e-06,-8.271513085632297658e-07
1.213998803183634891e+03,5.125932082531088424e-06,3.028421378310675594e-01,6.579564832223092630e-01,8.145191952091195287e-01,1.295730250482854412e-05,-1.097337908571987942e-06,-1.040282818559489561e-06,-8.420895437046988296e-07
1.214004933512782600e+03,5.205983249865393565e-06,3.028421310444165959e-01,6.579564767876538989e-01,8.145191900003571073e-01,1.315965481402582960e-05,-1.116842282605779442e-06,-1.059058761288910405e-06,-8.572977884779052566e-07
1.214011063841930081e+03,5.287284573408399496e-06,3.028421241371382355e-01,6.579564702368583262e-01,8.145191846975222694e-01,1.336516723971495914e-05,-1.136692893824892150e-06,-1.078173860583079639e-06,-8.727809313811518029e-07
1.214017194171077790e+03,5.369855556453169578e-06,3.028421171070934670e-01,6.579564635678271101e-01,8.145191792989164847e-01,1.357388908137243134e-05,-1.156895872208629453e-06,-1.097634240674370778e-06,-8.885439399658721818e-07
1.214023324500225272e+03,5.453716047332978242e-06,3.028421099521007576e-01,6.579564567784219609e-01,8.145191738028066952e-01,1.378587051063387750e-05,-1.177457470620241614e-06,-1.117446151349856693e-06,-9.045918837281893316e-07
1.214029454829372980e+03,5.538886171867294342e-06,3.028421026699435470e-01,6.579564498664699501e-01,8.145191682074315320e-01,1.400116240053708143e-05,-1.198384040972182018e-06,-1.137615943657885242e-06,-9.209299143640832761e-07
1.214035585158520462e+03,5.625386382159073112e-06,3.028420952583649184e-01,6.579564428297575152e-01,8.145191625109965416e-01,1.421981644886654959e-05,-1.219682051841111713e-06,-1.158150087960348885e-06,-9.375632804375841283e-07
1.214041715487668171e+03,5.713237462700051916e-06,3.028420877150659329e-01,6.579564356660292379e-01,8.145191567116737419e-01,1.444188519358514193e-05,-1.241358090924658964e-06,-1.179055176488697666e-06,-9.544973294285568254e-07
1.214047845816815652e+03,5.802460487974042420e-06,3.028420800377114586e-01,6.579564283729932850e-01,8.145191508076053966e-01,1.466742190566763614e-05,-1.263418850033005728e-06,-1.200337908074109714e-06,-9.717374953104944425e-07
1.214053976145963361e+03,5.893076905300939724e-06,3.028420722239194007e-01,6.579564209483109716e-01,8.145191447968957998e-01,1.489648079850455003e-05,-1.285871155102444314e-06,-1.222005118884066969e-06,-9.892893236218004469e-07
1.214060106475110842e+03,5.985108461840770594e-06,3.028420642712699729e-01,6.579564133896057543e-01,8.145191386776183817e-01,1.512911684339004589e-05,-1.308721940180794344e-06,-1.244063755860087843e-06,-1.007158449766543230e-06
1.214066236804258551e+03,6.078577257321924720e-06,3.028420561772986463e-01,6.579564056944564587e-01,8.145191324478104899e-01,1.536538590280224289e-05,-1.331978266645838326e-06,-1.266520896439037144e-06,-1.025350615133152164e-06
