[control projector np potential] a2=+3.294969e-08 (fit residual 2.08e-08)
[control projector np static] a2=+1.187971e+01 (fit residual 3.14e-06)
[control projector na potential] a2=+1.870975e-07 (fit residual 1.11e-07)
[control projector na static] a2=+8.936076e+00 (fit residual 5.03e-06)
[R=12.0 np potential] a2=-9.666609e+00 (fit residual 2.99e-09, floor 1.87e-07, resolved=True)
[R=12.0 np static] a2=+9.152235e+00 (fit residual 2.17e-09, floor 1.19e+01, resolved=False)
[R=12.0 na potential] a2=-9.122257e+00 (fit residual 9.81e-09, floor 1.87e-07, resolved=True)
[R=12.0 na static] a2=+5.520496e+00 (fit residual 1.10e-08, floor 1.19e+01, resolved=False)
[R=14.0 np potential] a2=-7.900925e+00 (fit residual 7.85e-09, floor 1.87e-07, resolved=True)
[R=14.0 np static] a2=+8.060670e+00 (fit residual 7.11e-09, floor 1.19e+01, resolved=False)
[R=14.0 na potential] a2=-7.519537e+00 (fit residual 1.89e-09, floor 1.87e-07, resolved=True)
[R=14.0 na static] a2=+4.789453e+00 (fit residual 2.33e-09, floor 1.19e+01, resolved=False)
[R=16.0 np potential] a2=-6.666920e+00 (fit residual 3.43e-09, floor 1.87e-07, resolved=True)
[R=16.0 np static] a2=+7.174737e+00 (fit residual 3.98e-09, floor 1.19e+01, resolved=False)
[R=16.0 na potential] a2=-6.375747e+00 (fit residual 3.47e-08, floor 1.87e-07, resolved=True)
[R=16.0 na static] a2=+4.231621e+00 (fit residual 3.52e-08, floor 1.19e+01, resolved=False)
[R=18.0 np potential] a2=-5.774681e+00 (fit residual 6.29e-09, floor 1.87e-07, resolved=True)
[R=18.0 np static] a2=+6.444482e+00 (fit residual 5.42e-09, floor 1.19e+01, resolved=False)
[R=18.0 na potential] a2=-5.533928e+00 (fit residual 6.29e-08, floor 1.87e-07, resolved=True)
[R=18.0 na static] a2=+3.788684e+00 (fit residual 6.17e-08, floor 1.19e+01, resolved=False)
WROTE g7-shear-probe.json
