x,m,c,b,f,V,T
-12,1,-8.31444010001e-43,-2.12800213767e-44,1.49385402746e-37,0,8.34687508401e-22
-11.988,1,1.93123914665e-19,9.8667658802e-22,4.90346854836e-13,0,8.35208787236e-22
-11.976,1,3.86525958381e-19,1.97553318825e-21,9.80999892852e-13,0,8.36773928907e-22
-11.964,1,5.80484667256e-19,2.968753942e-21,1.47226549152e-12,0,8.39386845825e-22
-11.952,1,7.75279379897e-19,3.96853181275e-21,1.96445041119e-12,0,8.43054065305e-22
-11.94,1,9.71190630281e-19,4.97707331399e-21,2.45786198214e-12,0,8.4778474583e-22
-11.928,1,1.16850055249e-18,5.99660338377e-21,2.95280829687e-12,0,8.53590702013e-22
-11.916,1,1.36749331325e-18,7.02937060033e-21,3.44959841491e-12,0,8.60486440622e-22
-11.904,1,1.56845550824e-18,8.07765199206e-21,3.94854254966e-12,0,8.68489190443e-22
-11.892,1,1.77167656246e-18,9.14375791025e-21,4.44995225614e-12,0,8.77618943109e-22
-11.88,1,1.97744913729e-18,1.02300369998e-20,4.95414062107e-12,0,8.87898502904e-22
-11.868,1,2.18606955919e-18,1.13388814537e-20,5.46142246177e-12,0,8.99353545854e-22
-11.856,1,2.39783829332e-18,1.24727328418e-20,5.97211454477e-12,0,9.12012690752e-22
-11.844,1,2.61306034332e-18,1.36340870939e-20,6.48653576804e-12,0,9.25907564038e-22
-11.832,1,2.83204567118e-18,1.48254997574e-20,7.00500735095e-12,0,9.41072876433e-22
-11.82,1,3.05510963319e-18,1.60495914853e-20,7.52785303022e-12,0,9.57546509407e-22
-11.808,1,3.28257344793e-18,1.73090539614e-20,8.0553992686e-12,0,9.75369612043e-22
-11.796,1,3.51476472823e-18,1.86066566633e-20,8.58797549075e-12,0,9.94586711314e-22
-11.784,1,3.75201789882e-18,1.99452522946e-20,9.12591426361e-12,0,1.01524581626e-21
-11.772,1,3.99467465084e-18,2.13277827176e-20,9.6695514916e-12,0,1.0373985353e-21
-11.76,1,4.24308442236e-18,2.2757285262e-20,1.02192266214e-11,0,1.0611002048e-21
-11.748,1,4.49760492275e-18,2.42368996466e-20,1.0775282864e-11,0,1.08641002969e-21
-11.736,1,4.75860274196e-18,2.57698760496e-20,1.13380674511e-11,0,1.11339123976e-21
-11.724,1,5.02645380127e-18,2.73595812902e-20,1.19079318165e-11,0,1.14211123985e-21
-11.712,1,5.30154385879e-18,2.90095057624e-20,1.24852318e-11,0,1.17264177527e-21
-11.7,1,5.58426905195e-18,3.07232709126e-20,1.3070327864e-11,0,1.2050591105e-21
-11.688,1,5.87503649709e-18,3.2504637539e-20,1.36635853319e-11,0,1.23944422244e-21
-11.676,1,6.17426499818e-18,3.43575156133e-20,1.42653746696e-11,0,1.27588301218e-21
-11.664,1,6.48238554687e-18,3.62859715513e-20,1.48760716712e-11,0,1.31446651094e-21
-11.652,1,6.79984189721e-18,3.8294236531e-20,1.54960576734e-11,0,1.35529110396e-21
-11.64,1,7.12709118981e-18,4.03867155493e-20,1.61257197883e-11,0,1.39845877071e-21
-11.628,1,7.46460464817e-18,4.25679975564e-20,1.67654511617e-11,0,1.44407734257e-21
-11.616,1,7.81286841251e-18,4.4842867568e-20,1.74156512846e-11,0,1.49226078345e-21
-11.604,1,8.17238410714e-18,4.72163154262e-20,1.80767261846e-11,0,1.54312946438e-21
-11.592,1,8.54366950523e-18,4.9693545958e-20,1.87490886557e-11,0,1.59681046018e-21
-11.58,1,8.92725925699e-18,5.22799901098e-20,1.94331585105e-11,0,1.65343786603e-21
-11.568,1,9.32370570811e-18,5.49813174734e-20,2.01293628623e-11,0,1.71315313596e-21
-11.556,1,9.7335798887e-18,5.78034513542e-20,2.08381364707e-11,0,1.77610544948e-21
-11.544,1,1.01574721684e-17,6.0752579504e-20,2.15599219434e-11,0,1.84245207244e-21
-11.532,1,1.05959930354e-17,6.3835166678e-20,2.2295169984e-11,0,1.91235874503e-21
-11.52,1,1.10497739546e-17,6.7057968459e-20,2.30443396667e-11,0,1.9860000947e-21
-11.508,1,1.15194683382e-17,7.04280468623e-20,2.38078987485e-11,0,2.06356007652e-21
-11.496,1,1.20057527248e-17,7.39527891887e-20,2.4586324053e-11,0,2.14523244874e-21
-11.484,1,1.25093275468e-17,7.76399213167e-20,2.53801016858e-11,0,2.23122124268e-21
-11.472,1,1.30309180507e-17,8.14975233498e-20,2.61897273045e-11,0,2.32174126656e-21
-11.46,1,1.35712753175e-17,8.55340468873e-20,2.70157064209e-11,0,2.41701864063e-21
-11.448,1,1.4131177419e-17,8.97583345668e-20,2.78585547462e-11,0,2.51729136698e-21
-11.436,1,1.47114308312e-17,9.41796437348e-20,2.87187986211e-11,0,2.62280994367e-21
-11.424,1,1.53128713402e-17,9.88076630301e-20,2.9596975247e-11,0,2.73383797344e-21
-11.412,1,1.59363651383e-17,1.03652531978e-19,3.04936329826e-11,0,2.85065281489e-21
-11.4,1,1.65828100426e-17,1.08724862659e-19,3.14093316783e-11,0,2.97354627351e-21
-11.388,1,1.72531368794e-17,1.14035764256e-19,3.23446430604e-11,0,3.10282533666e-21
-11.376,1,1.79483111823e-17,1.19596872847e-19,3.33001512133e-11,0,3.2388129646e-21
-11.364,1,1.86693342699e-17,1.25420372187e-19,3.42764528308e-11,0,3.38184887632e-21
-11.352,1,1.94172445569e-17,1.31519018324e-19,3.52741575436e-11,0,3.53229038914e-21
-11.34,1,2.01931190148e-17,1.37906166853e-19,3.62938882913e-11,0,3.69051330902e-21
