x,m,c,b,f,V,T
-12,1,2.22134889129e-43,4.64056240401e-45,1.34829216825e-36,0,8.34687412659e-22
-11.988,1,1.93123875116e-19,9.86676352168e-22,4.90346827655e-13,0,8.35208692855e-22
-11.976,1,3.86525882057e-19,1.97553274878e-21,9.80999839823e-13,0,8.3677383655e-22
-11.964,1,5.80484553028e-19,2.96875328787e-21,1.47226541212e-12,0,8.39386753187e-22
-11.952,1,7.75279221875e-19,3.96853087552e-21,1.96445030264e-12,0,8.43053970057e-22
-11.94,1,9.71190427785e-19,4.9770720839e-21,2.45786184416e-12,0,8.47784648618e-22
-11.928,1,1.16850031403e-18,5.99660195901e-21,2.95280813355e-12,0,8.53590605598e-22
-11.916,1,1.3674930438e-18,7.02936903925e-21,3.44959822866e-12,0,8.60486345705e-22
-11.904,1,1.56845519961e-18,8.07765019794e-21,3.94854233664e-12,0,8.68489094665e-22
-11.892,1,1.77167620152e-18,9.14375572604e-21,4.44995201024e-12,0,8.7761884404e-22
-11.88,1,1.97744872544e-18,1.02300344397e-20,4.95414034305e-12,0,8.87898401189e-22
-11.868,1,2.18606911376e-18,1.1338878723e-20,5.46142215987e-12,0,8.99353444381e-22
-11.856,1,2.39783782165e-18,1.2472730028e-20,5.97211422252e-12,0,9.12012590275e-22
-11.844,1,2.61305982987e-18,1.36340840095e-20,6.48653541823e-12,0,9.25907462068e-22
-11.832,1,2.83204509512e-18,1.48254961481e-20,7.00500696402e-12,0,9.41072770357e-22
-11.82,1,3.05510899803e-18,1.60495873899e-20,7.52785260799e-12,0,9.57546399883e-22
-11.808,1,3.28257278045e-18,1.73090497035e-20,8.05539882361e-12,0,9.75369502177e-22
-11.796,1,3.51476403842e-18,1.86066523644e-20,8.58797502769e-12,0,9.94586601939e-22
-11.784,1,3.75201716322e-18,1.99452476662e-20,9.12591377179e-12,0,1.01524570467e-21
-11.772,1,3.99467384016e-18,2.13277773943e-20,9.66955095786e-12,0,1.0373984186e-21
-11.76,1,4.24308354238e-18,2.27572793094e-20,1.02192260487e-11,0,1.06110008368e-21
-11.748,1,4.49760401065e-18,2.42368935239e-20,1.07752822693e-11,0,1.08640990758e-21
-11.736,1,4.75860181073e-18,2.57698699192e-20,1.13380668403e-11,0,1.1133911176e-21
-11.724,1,5.0264528187e-18,2.73595747465e-20,1.19079311753e-11,0,1.14211111462e-21
-11.712,1,5.30154278609e-18,2.90094983091e-20,1.24852311115e-11,0,1.17264164367e-21
-11.7,1,5.58426789735e-18,3.07232626455e-20,1.30703271322e-11,0,1.20505897329e-21
-11.688,1,5.87503530952e-18,3.25046290783e-20,1.36635845785e-11,0,1.23944408348e-21
-11.676,1,6.17426379413e-18,3.43575071708e-20,1.4265373902e-11,0,1.27588287257e-21
-11.664,1,6.48238428419e-18,3.62859625823e-20,1.48760708711e-11,0,1.3144663672e-21
-11.652,1,6.79984052622e-18,3.82942263809e-20,1.54960568198e-11,0,1.35529095229e-21
-11.64,1,7.12708972149e-18,4.03867043494e-20,1.61257188864e-11,0,1.39845861191e-21
-11.628,1,7.46460314499e-18,4.25679861218e-20,1.67654502385e-11,0,1.44407718113e-21
-11.616,1,7.81286689503e-18,4.48428561716e-20,1.74156503487e-11,0,1.49226062064e-21
-11.604,1,8.17238252179e-18,4.72163033544e-20,1.80767252136e-11,0,1.54312929614e-21
-11.592,1,8.5436677896e-18,4.96935323618e-20,1.87490876243e-11,0,1.596810282e-21
-11.58,1,8.92725742525e-18,5.22799751631e-20,1.94331574251e-11,0,1.65343767883e-21
-11.568,1,9.32370383852e-18,5.49813022309e-20,2.01293617554e-11,0,1.71315294503e-21
-11.556,1,9.73357800663e-18,5.7803436165e-20,2.08381353525e-11,0,1.77610525631e-21
-11.544,1,1.01574702069e-17,6.07525634461e-20,2.15599207871e-11,0,1.84245187221e-21
-11.532,1,1.05959909171e-17,6.38351486616e-20,2.22951687593e-11,0,1.91235853231e-21
-11.52,1,1.10497716974e-17,6.70579487102e-20,2.30443383816e-11,0,1.98599987055e-21
-11.508,1,1.1519466039e-17,7.04280267332e-20,2.38078974413e-11,0,2.06355984726e-21
-11.496,1,1.20057504147e-17,7.39527691235e-20,2.45863227358e-11,0,2.14523221618e-21
-11.484,1,1.25093251431e-17,7.76399001348e-20,2.53801003268e-11,0,2.23122100099e-21
-11.472,1,1.30309154583e-17,8.14974996605e-20,2.61897258683e-11,0,2.32174100914e-21
-11.46,1,1.35712725586e-17,8.55340209812e-20,2.70157049168e-11,0,2.4170183687e-21
-11.448,1,1.41311746125e-17,8.97583081677e-20,2.78585532193e-11,0,2.51729108821e-21
-11.436,1,1.47114280152e-17,9.41796174065e-20,2.87187970853e-11,0,2.62280966029e-21
-11.424,1,1.53128684133e-17,9.88076352682e-20,2.95969736651e-11,0,2.7338376783e-21
-11.412,1,1.59363619842e-17,1.03652501015e-19,3.04936313133e-11,0,2.85065249985e-21
-11.4,1,1.65828066886e-17,1.08724828866e-19,3.14093299327e-11,0,2.97354594003e-21
-11.388,1,1.72531334709e-17,1.14035729822e-19,3.23446412909e-11,0,3.10282499417e-21
-11.376,1,1.79483077657e-17,1.19596838488e-19,3.33001494359e-11,0,3.23881261584e-21
-11.364,1,1.86693307212e-17,1.25420335991e-19,3.42764510023e-11,0,3.38184851244e-21
-11.352,1,1.94172407346e-17,1.3151897805e-19,3.52741556164e-11,0,3.53229000005e-21
-11.34,1,2.01931149523e-17,1.37906122973e-19,3.62938862782e-11,0,3.69051289647e-21
-11.328,1,2.09980707094e-17,1.44595759112e-19,3.73362797129e-11,0,3.85691245229e-21
-11.316,1,2.18332673398e-17,1.51602538635e-19,3.84019868359e-11,0,4.03190435214e-21
-11.304,1,2.26999076431e-17,1.58941806374e-19,3.94916730913e-11,0,4.21592573912e-21
-11.292,1,2.35992397307e-17,1.66629635177e-19,4.06060189055e-11,0,4.40943631463e-21
-11.28,1,2.45325588285e-17,1.74682861185e-19,4.17457201137e-11,0,4.61291948724e-21
-11.268,1,2.55012090072e-17,1.83119118414e-19,4.29114883505e-11,0,4.82688357069e-21
-11.256,1,2.65065853614e-17,1.91956881342e-19,4.41040515726e-11,0,5.05186307094e-21
-11.244,1,2.7550135773e-17,2.0121550125e-19,4.53241544347e-11,0,5.28842000399e-21
-11.232,1,2.86333631343e-17,2.10915250813e-19,4.65725587985e-11,0,5.5371453096e-21
