# t R1 Z1p R2 Z2p Zcenter nonaxisym
0.000000000000000000e+00 7.737237252398623255e-01 0.000000000000000000e+00 1.185225175867677727e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.548731002827610559e-01 8.010278601620222094e-01 1.121209505191841371e-01 1.166945366224365177e+00 -1.121209505191841094e-01 1.606744733670691927e-01 7.771561172376095783e-16
5.097462005655221118e-01 8.624743615063255042e-01 1.918849149974479751e-01 1.122294567504815266e+00 -1.918849149974479196e-01 3.095131174564218490e-01 9.992007221626408864e-16
7.646193008482831122e-01 9.321833357379927243e-01 2.359504442442211247e-01 1.065101567494118884e+00 -2.359504442442211247e-01 4.477881655839741071e-01 1.332267629550187849e-15
1.019492401131044224e+00 1.000203613826010418e+00 2.499970555259176663e-01 1.001498802493220985e+00 -2.499970555259176108e-01 5.809559773200285715e-01 1.554312234475219157e-15
1.274365501413805113e+00 1.063905937377640942e+00 2.364986682123796369e-01 9.335476832592140006e-01 -2.364986682123796369e-01 7.140759463660576456e-01 1.998401444325281773e-15
1.529238601696566224e+00 1.121262083511501473e+00 1.930737405889170200e-01 8.638162192191125577e-01 -1.930737405889170200e-01 8.521979780801666182e-01 1.998401444325281773e-15
1.784111701979327336e+00 1.166267529225704536e+00 1.140467620875060817e-01 8.020144454945969947e-01 -1.140467620875063037e-01 1.000786556173842268e+00 1.776356839400250465e-15
2.038984802262088447e+00 1.185217659893149644e+00 2.345464157925691850e-03 7.737352384291324991e-01 -2.345464157925691850e-03 1.161298714633026696e+00 1.554312234475219157e-15
2.293857902544849559e+00 1.167613076862225263e+00 -1.101814454002312260e-01 8.000542626900988274e-01 1.101814454002312260e-01 1.322130387009013308e+00 1.776356839400250465e-15
2.548731002827610226e+00 1.123322532461422885e+00 -1.906821931929749692e-01 8.611350698763822198e-01 1.906821931929749692e-01 1.471220075249208170e+00 1.998401444325281773e-15
2.803604103110371337e+00 1.066294855414898990e+00 -2.353908171246059666e-01 9.308181357395900468e-01 2.353908171246059666e-01 1.609650343237722048e+00 2.442490654175344389e-15
3.058477203393132449e+00 1.002792310509292850e+00 -2.499866251418343399e-01 9.989067536508913214e-01 2.499866251418343399e-01 1.742867913952725223e+00 2.664535259100375697e-15
3.313350303675893560e+00 9.349111487144157184e-01 -2.370355259994652020e-01 1.062707986473937716e+00 2.370355259994654240e-01 1.875941952243019184e+00 2.997602166487922659e-15
3.568223403958654671e+00 8.651605233374972670e-01 -1.942487204591136774e-01 1.120225151192779212e+00 1.942487204591136774e-01 2.013913168514573471e+00 3.219646771412953967e-15
3.823096504241415783e+00 8.030137414515339245e-01 -1.159587759541338414e-01 1.165579706218396794e+00 1.159587759541338414e-01 2.162252726727515117e+00 3.552713678800500929e-15
4.077969604524176894e+00 7.737697726224270767e-01 -4.690551469877402013e-03 1.185195114521393034e+00 4.690551469877402013e-03 2.322597579647976307e+00 3.996802888650563546e-15
4.087964628064677086e+00 7.737237252396722553e-01 -4.891642646498439717e-11 1.185225175867769654e+00 4.891642646498439717e-11 2.329013600875472711e+00 3.996802888650563546e-15
